MODEL INFORMATION,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,
Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,
Model Type,Three-Stage DP,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,
Data Source,udata,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,,Data Source,udata,,,,,,,,,,
Sequence Length,8,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,
Delay Threshold,5.0 min,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,
Classification Threshold,0.5,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,
================================================================================,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,
Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target
3-step,13854,4.6045,5.7554,-0.4796,1.4672,1.8419,0.7625,-0.35,-4.35,1.66,,3-step,13854,5.2378,6.1175,-0.6716,1.5176,1.8889,0.7502,0.62,-4.35,1.54,1.24,,3-step,13854,5.2346,6.152,-0.6905,1.4951,1.8719,0.7547,0.59,-4.35,1.59,1.24,,,3-step,13854,5.2002,6.1081,-0.6665,1.5353,1.9351,0.7379,0.57,-4.35,1.47,1.24,,3-step,13854,5.1947,6.1018,-0.6631,1.482,1.8644,0.7567,0.58,-4.35,1.57,1.24,,,3-step,13854,5.1006,6.0307,-0.6245,1.5335,1.9248,0.7407,0.45,-4.35,1.52,1.24
6-step,13854,4.7869,5.8481,-0.513,1.5965,2.003,0.7191,-0.24,-4.33,1.64,,6-step,13854,5.2608,6.1229,-0.6585,1.7186,2.1262,0.6835,0.66,-4.33,1.47,1.25,,6-step,13854,5.3045,6.1537,-0.6752,1.6716,2.0759,0.6983,0.7,-4.33,1.55,1.25,,,6-step,13854,5.2567,6.122,-0.658,1.7164,2.1434,0.6783,0.67,-4.33,1.39,1.25,,6-step,13854,5.2609,6.1279,-0.6612,1.667,2.0794,0.6973,0.68,-4.33,1.52,1.25,,,6-step,13854,5.2698,6.1301,-0.6624,1.6649,2.0787,0.6975,0.68,-4.33,1.5,1.25
12-step,13854,5.0878,6.0027,-0.5957,2.0388,2.5909,0.5261,-0.35,-4.35,1.37,,12-step,13854,5.5933,6.4318,-0.832,2.3419,2.905,0.4042,0.88,-4.35,1.33,1.31,,12-step,13854,5.6075,6.4358,-0.8343,2.2851,2.8316,0.434,0.91,-4.35,1.4,1.31,,,12-step,13854,5.5503,6.3832,-0.8044,2.1776,2.7575,0.4632,0.82,-4.35,1.14,1.31,,12-step,13854,5.6032,6.4258,-0.8286,2.1461,2.6943,0.4875,0.89,-4.35,1.32,1.31,,,12-step,13854,5.6092,6.4268,-0.8292,2.149,2.6976,0.4863,0.9,-4.35,1.34,1.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,
DETAILED METRICS - NON-DELAYED FLIGHTS (<5 min),,,,,,,,,,,,DETAILED METRICS - NON-DELAYED FLIGHTS (<5 min),,,,,,,,,,,,,DETAILED METRICS - NON-DELAYED FLIGHTS (<5 min),,,,,,,,,,,,,,DETAILED METRICS - NON-DELAYED FLIGHTS (<5 min),,,,,,,,,,,,,DETAILED METRICS - NON-DELAYED FLIGHTS (<5 min),,,,,,,,,,,,,,DETAILED METRICS - NON-DELAYED FLIGHTS (<5 min),,,,,,,,,,,
================================================================================,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,
Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target
